step	epoch
49	0
99	0
149	0
156	0
156	0
199	1
249	1
299	1
313	1
313	1
349	2
399	2
449	2
470	2
470	2
499	3
549	3
599	3
627	3
627	3
649	4
699	4
749	4
784	4
784	4
799	5
849	5
899	5
941	5
941	5
949	6
999	6
1049	6
1098	6
1098	6
1099	7
1149	7
1199	7
1249	7
1255	7
1255	7
1299	8
1349	8
1399	8
1412	8
1412	8
1449	9
1499	9
1549	9
1569	9
1569	9
1599	10
1649	10
1699	10
1726	10
1726	10
1749	11
1799	11
1849	11
1883	11
1883	11
1899	12
1949	12
1999	12
2040	12
2040	12
2049	13
2099	13
2149	13
2197	13
2197	13
2199	14
2249	14
2299	14
2349	14
2354	14
2354	14
2399	15
2449	15
2477	15
2477	15
2477	15
